3;2019-03-01;0000014200;096206760LA017;475300003153;15:34:53;JOÃO MACEDO;BAR DO JOÃO       
5;2019-03-01;0000013200;556418151UE063;312300007687;14:56:07;MARIA JOSEFINA;LOJA DO Ó - MATRIZ
3;2019-03-01;0000012200;845152543BE073;677700001313;17:27:12;MARCOS PEREIRA ;MERCADO DA AVENIDA
2;2019-03-01;0000011200;096206760LA017;364800000099;23:42:34;JOÃO MACEDO ;BAR DO JOÃO       
1;2019-03-01;0000015200;096206760LA017;123400007890;23:30:00;JOÃO MACEDO;BAR DO JOÃO       
2;2019-03-01;0000010700;845152543BE073;872300009987;12:33:33;MARCOS PEREIRA;MERCADO DA AVENIDA
2;2019-03-01;0000050200;845152543BE073;847300001231;23:12:33;MARCOS PEREIRA;MERCADO DA AVENIDA
3;2019-03-01;0000060200;232702987ZR056;677700001313;17:27:12;JOSÉ COSTA;MERCEARIA 3 IRMÃOS
1;2019-03-01;0000020000;556418151UE063;123400003324;090002;MARIA JOSEFINA;LOJA DO Ó - MATRIZ
5;2019-03-01;0000080200;845152543BE073;312300007687;145607;MARCOS PEREIRA;MERCADO DA AVENIDA
2;2019-03-01;0000010200;232702987ZR056;847300001231;23:12:33;JOSÉ COSTA;MERCEARIA 3 IRMÃOS
3;2019-03-01;0000610200;232702987ZR056;677700001313;17:27:12;JOSÉ COSTA;MERCEARIA 3 IRMÃOS
4;2019-03-01;0000015232;556418151UE063;123400006678;10:00:00;MARIA JOSEFINA;LOJA DO Ó - FILIAL
8;2019-03-01;0000010203;845152543BE073;234400001222;12:32:22;MARCOS PEREIRA;MERCADO DA AVENIDA
3;2019-03-01;0000010300;232702987ZR056;677700001313;17:27:12;JOSÉ COSTA;MERCEARIA 3 IRMÃOS
9;2019-03-01;0000010200;556418151UE063;622800009090;00:00:00;MARIA JOSEFINA;LOJA DO Ó - MATRIZ
4;2019-03-01;0000050617;845152543BE073;123400002231;10:00:00;MARCOS PEREIRA;MERCADO DA AVENIDA
2;2019-03-01;0000010900;232702987ZR056;872300009987;12:33:33;JOSÉ COSTA;MERCEARIA 3 IRMÃOS
8;2019-03-01;0000000200;845152543BE073;234400001222;12:32:22;MARCOS PEREIRA;MERCADO DA AVENIDA
2;2019-03-01;0000000500;232702987ZR056;767700008778;14:18:08;JOSÉ COSTA;MERCEARIA 3 IRMÃOS
3;2019-03-01;0000019200;845152543BE073;677700001313;17:27:12;MARCOS PEREIRA;MERCADO DA AVENIDA
